class,subject,chapters_in_config,chapters_audited,chunks_total,chunks_flagged,pct_flagged,salvageable
classEight,agriculture,6.0,6,476,53,11.13,Salvageable
classEight,arabic,12.0,12,113,103,91.15,Non-salvageable
classEight,arts_and_crafts,8.0,8,158,14,8.86,Salvageable
classEight,bangla,17.0,0,0,0,,N/A (no audited chunks)
classEight,bangla_grammar,15.0,15,483,195,40.37,Non-salvageable
classEight,bangla_rapidreader,15.0,15,255,40,15.69,Salvageable
classEight,bgs,13.0,12,572,112,19.58,Salvageable
classEight,buddhist_religion,11.0,10,430,74,17.21,Salvageable
classEight,christian_religion,10.0,10,421,43,10.21,Salvageable
classEight,english,11.0,10,510,101,19.8,Salvageable
classEight,english_grammar,,9,393,85,21.63,Salvageable
classEight,hindu_religion,8.0,6,333,39,11.71,Salvageable
classEight,home_science,14.0,14,490,144,29.39,Salvageable
classEight,ict,5.0,4,237,98,41.35,Non-salvageable
classEight,islam,5.0,4,466,104,22.32,Salvageable
classEight,math,11.0,10,562,293,52.14,Non-salvageable
classEight,music,5.0,4,197,18,9.14,Salvageable
classEight,pali,12.0,12,573,63,10.99,Salvageable
classEight,physical_education,4.0,3,134,61,45.52,Non-salvageable
classEight,sanskrit,16.0,16,312,110,35.26,Non-salvageable
classEight,science,14.0,13,635,283,44.57,Non-salvageable
classEight,work_and_life,3.0,3,155,32,20.65,Salvageable
classFive,bangla,23.0,23,248,131,52.82,Non-salvageable
classFive,bgs,17.0,15,239,112,46.86,Non-salvageable
classFive,buddhist_religion,5.0,5,217,77,35.48,Non-salvageable
classFive,christian_religion,5.0,2,89,86,96.63,Non-salvageable
classFive,eng,20.0,19,223,45,20.18,Salvageable
classFive,hindu_religion,5.0,5,195,97,49.74,Non-salvageable
classFive,islam,5.0,5,280,141,50.36,Non-salvageable
classFive,math,10.0,10,349,221,63.32,Non-salvageable
classFive,science,14.0,13,450,268,59.56,Non-salvageable
classFour,bangla,23.0,21,205,105,51.22,Non-salvageable
classFour,bgs,15.0,14,187,67,35.83,Non-salvageable
