class,subject,file,status,detail
classFour,bangla,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFour\processed_chapters_bangla\Audit Results\class4_Bangla_ch15.json,needs_rerun_truncated,15 of 20 entries missing expected fields (likely truncated mid-generation)
classFour,bangla,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFour\processed_chapters_bangla\Audit Results\class4_Bangla_ch16.json,needs_rerun_truncated,1 of 13 entries missing expected fields (likely truncated mid-generation)
classFour,bgs,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFour\processed_chapters_bgs\Audit Results\class4_BGS_ch5.json,needs_rerun_truncated,1 of 13 entries missing expected fields (likely truncated mid-generation)
classFour,buddhist_religion,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFour\processed_chapters_buddhist_religion\Audit Results\class4_Buddhist_religion_ch5.json,needs_rerun_truncated,2 of 47 entries missing expected fields (likely truncated mid-generation)
classFour,science,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFour\processed_chapters_science\Audit Results\class4_Science_ch12.json,needs_rerun_unrepairable,Expecting value: line 1 column 1 (char 0)
classFive,bgs,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFive\processed_chapters_bgs\Audit Results\class5_BGS_ch12.json,needs_rerun_unrepairable,Expecting value: line 1 column 1 (char 0)
classFive,bgs,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFive\processed_chapters_bgs\Audit Results\class5_BGS_ch5.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classFive,science,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classFive\processed_chapters_science\Audit Results\class5_Science_ch2.json,needs_rerun_truncated,1 of 32 entries missing expected fields (likely truncated mid-generation)
classSeven,islam,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classSeven\processed_chapters_islam\Audit Results\class7_Islam_ch4.json,needs_rerun_truncated,1 of 93 entries missing expected fields (likely truncated mid-generation)
classSeven,physical_education,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classSeven\processed_chapters_physical_education\Audit Results\class7_Physical_education_ch4.json,needs_rerun_truncated,2 of 118 entries missing expected fields (likely truncated mid-generation)
classSeven,science,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classSeven\processed_chapters_science\Audit Results\class7_Science_ch13.json,needs_rerun_truncated,2 of 38 entries missing expected fields (likely truncated mid-generation)
classEight,bgs,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classEight\processed_chapters_bgs\Audit Results\class8_BGS_ch11.json,needs_rerun_truncated,1 of 67 entries missing expected fields (likely truncated mid-generation)
classEight,english,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classEight\processed_chapters_english\Audit Results\class8_English_ch1.json,needs_rerun_truncated,1 of 27 entries missing expected fields (likely truncated mid-generation)
classNineTen,agriculture,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_agriculture\Audit Results\class9-10_Agriculture_ch4.json,needs_rerun_truncated,1 of 310 entries missing expected fields (likely truncated mid-generation)
classNineTen,bangla,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_bangla\Audit Results\class9-10_Bangla_ch24.json,needs_rerun_truncated,1 of 23 entries missing expected fields (likely truncated mid-generation)
classNineTen,bangla_grammar,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_bangla_grammar\Audit Results\class9-10_Bangla_grammar_ch38.json,needs_rerun_truncated,1 of 12 entries missing expected fields (likely truncated mid-generation)
classNineTen,biology_secondary,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_biology_secondary\Audit Results\class9-10_biology_secondary_ch2.json,needs_rerun_truncated,1 of 150 entries missing expected fields (likely truncated mid-generation)
classNineTen,career_education,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_career_education\Audit Results\class9-10_Career_education_ch1.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,chemistry_secondary,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_chemistry_secondary\Audit Results\class9-10_chemistry_secondary_ch5.json,needs_rerun_truncated,1 of 103 entries missing expected fields (likely truncated mid-generation)
classNineTen,english_grammar,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_english_grammar\Audit Results\class9-10_English_grammar_ch21.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,finance,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_finance\Audit Results\class9-10_Finance_ch4.json,needs_rerun_truncated,1 of 43 entries missing expected fields (likely truncated mid-generation)
classNineTen,finance,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_finance\Audit Results\class9-10_Finance_ch7.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,geography,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_geography\Audit Results\class9-10_Geography_ch2.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,geography,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_geography\Audit Results\class9-10_Geography_ch5.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,higher_math,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_higher_math\Audit Results\class9-10_Higher_math_ch12.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,history,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_history\Audit Results\class9-10_History_ch11.json,needs_rerun_truncated,1 of 195 entries missing expected fields (likely truncated mid-generation)
classNineTen,history,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_history\Audit Results\class9-10_History_ch8.json,needs_rerun_unrepairable,Expecting value: line 1 column 1 (char 0)
classNineTen,ict,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_ict\Audit Results\class9-10_ICT_ch2.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
classNineTen,math,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_math\Audit Results\class9-10_Math_ch6.json,needs_rerun_truncated,1 of 104 entries missing expected fields (likely truncated mid-generation)
classNineTen,pali,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_pali\Audit Results\class9-10_Pali_ch10.json,needs_rerun_truncated,1 of 23 entries missing expected fields (likely truncated mid-generation)
classNineTen,physics_secondary,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_physics_secondary\Audit Results\class9-10_physics_secondary_ch3.json,needs_rerun_truncated,3 of 284 entries missing expected fields (likely truncated mid-generation)
classNineTen,sanskrit,D:\Ongoing Research Works\AI-Tutor\NCTB-SchoolText\classNineTen\processed_chapters_sanskrit\Audit Results\class9-10_Sanskrit_ch1.json,needs_rerun_unrepairable,Repaired output is not a non-empty list
